time,swing_leg,x,z,step_length,step_duration
0.122,left,-0.028594971,0.127807617,0.0001303707293682157,0.108
0.226,left,-0.028625488,0.127929688,0.0001258277248065798,0.10400000000000001
0.328,left,-0.028594971,0.127807617,0.0001258277248065798,0.10200000000000001
0.432,right,0.126831055,0.129394531,0.0,0.10199999999999998
0.446,left,-0.028579712,0.127685547,0.00012302000642578617,0.118
0.554,left,-0.028625488,0.127807617,0.0001303707293682157,0.10800000000000004
0.674,left,-0.028610229,0.127685547,0.00012302000642578617,0.12
0.792,left,-0.028640747,0.127441406,0.0002460410051292296,0.118
0.894,left,-0.028625488,0.127807617,0.00036652876231205075,0.10199999999999998
0.932,right,0.126831055,0.129272461,0.0001220700000000019,0.5
1.004,left,-0.028640747,0.127685547,0.00012302000642578617,0.10999999999999999
1.12,left,-0.028564453,0.127441406,0.0002557842886437745,0.1160000000000001
1.232,left,-0.028610229,0.127807617,0.0003690608875199374,0.11199999999999988
1.342,left,-0.028671265,0.127563477,0.0002516539943970727,0.1100000000000001
1.46,left,-0.028640747,0.127441406,0.00012582796734033475,0.11799999999999988
1.592,left,-0.028656006,0.127685547,0.00024461738483190764,0.13200000000000012
1.702,left,-0.028594971,0.127807617,0.0001364784090067018,0.10999999999999988
1.748,right,0.126831055,0.129272461,0.0,0.816
1.81,left,-0.028625488,0.127563477,0.0002460398888168378,0.1080000000000001
1.9160000000000001,left,-0.028625488,0.127563477,0.0,0.1060000000000001
2.024,left,-0.028594971,0.127807617,0.0002460398888168378,0.10799999999999987
2.124,left,-0.028610229,0.127807617,1.5258000000000632e-05,0.10000000000000009
2.242,left,-0.028564453,0.127319336,0.0004904220398157152,0.11799999999999988
2.344,left,-0.028564453,0.127685547,0.00036621100000000517,0.10199999999999987
2.448,left,-0.028594971,0.127807617,0.00012582699719853636,0.10400000000000009
2.552,left,-0.028594971,0.127441406,0.00036621100000000517,0.10400000000000009
2.66,left,-0.028579712,0.127807617,0.00036652876231205075,0.1080000000000001
2.762,left,-0.028625488,0.127807617,4.5776000000000844e-05,0.10199999999999987
2.862,left,-0.028640747,0.127685547,0.00012302000642578617,0.10000000000000009
2.978,left,-0.028656006,0.127685547,1.5259000000000106e-05,0.1160000000000001
3.08,left,-0.028610229,0.127929688,0.0002483955748599431,0.10199999999999987
3.18,left,-0.028594971,0.127685547,0.00024461732245489404,0.10000000000000009
3.24,right,0.126831055,0.129272461,0.0,1.4920000000000002
3.286,left,-0.028549194,0.127685547,4.577700000000032e-05,0.10599999999999987
3.37,right,0.126708984,0.129272461,0.00012207100000000137,0.1299999999999999
3.39,left,-0.028640747,0.127441406,0.00026074274618865585,0.10400000000000009
3.492,left,-0.028594971,0.127685547,0.00024839539057116514,0.10199999999999987
3.584,right,0.126831055,0.129272461,0.00012207100000000137,0.21399999999999997
3.592,left,-0.028594971,0.127685547,0.0,0.10000000000000009
3.694,left,-0.028564453,0.127319336,0.0003674804006270318,0.10199999999999987
3.798,left,-0.028564453,0.127807617,0.00048828100000000707,0.10400000000000009
3.898,left,-0.028564453,0.127319336,0.00048828100000000707,0.10000000000000009
4.0,left,-0.028625488,0.127807617,0.0004920808939453015,0.10199999999999987
4.11,left,-0.028625488,0.127441406,0.00036621100000000517,0.11000000000000032
4.22,left,-0.028564453,0.127319336,0.0001364784090067018,0.10999999999999943
4.322,left,-0.028610229,0.127807617,0.0004904220398157152,0.10200000000000031
4.436,left,-0.028610229,0.127807617,0.0,0.11399999999999988
4.538,left,-0.028579712,0.127685547,0.00012582675466291145,0.10200000000000031
